Model,Context_Length,Start,Stop,Strand,Contig,Length,Log_Likelihood
pre_train,25000,10971,10747,-,contig_1,225,-57.37867
pre_train,25000,11327,10983,-,contig_1,345,-61.169
pre_train,25000,11602,11306,-,contig_1,297,-240.7029
pre_train,25000,11992,11618,-,contig_1,375,-4577.22
pre_train,25000,12900,12082,-,contig_1,819,-1732659.0
pre_train,25000,13391,13287,-,contig_1,105,-0.08331998
pre_train,25000,13852,13427,-,contig_1,426,-1456.132
pre_train,25000,14759,13860,-,contig_1,900,-18118110.0
pre_train,25000,14845,14756,-,contig_1,90,-4.35594
pre_train,25000,15709,14873,-,contig_1,837,-4236750.0
pre_train,25000,16218,15673,-,contig_1,546,-3678.275
pre_train,25000,16469,16236,-,contig_1,234,-8.530493
pre_train,25000,16810,16604,-,contig_1,207,-80.05304
pre_train,25000,17098,16862,-,contig_1,237,-16.49635
pre_train,25000,17393,17112,-,contig_1,282,-617.3809
pre_train,25000,18504,17347,-,contig_1,1158,-39349480.0
pre_train,25000,19376,18501,-,contig_1,876,-723824.4
pre_train,25000,19501,19385,-,contig_1,117,-1.339267
pre_train,25000,19977,19519,-,contig_1,459,-266.7663
pre_train,25000,20326,20018,-,contig_1,309,-41.34965
pre_train,25000,20573,20298,-,contig_1,276,-178.0927
pre_train,25000,20935,20606,-,contig_1,330,-549.0892
pre_train,25000,20921,21049,+,contig_1,129,-1.977794
pre_train,25000,21686,21192,-,contig_1,495,-1004.43
pre_train,25000,22111,21878,-,contig_1,234,-36.11449
pre_train,25000,22635,22210,-,contig_1,426,-240.2797
pre_train,25000,22888,22724,-,contig_1,165,-10.48406
pre_train,25000,23144,22992,-,contig_1,153,-2.573362
pre_train,25000,23381,23199,-,contig_1,183,-19.36293
pre_train,25000,23850,23371,-,contig_1,480,-844.733
pre_train,5000,519,88,-,contig_0,432,-48.43206
pre_train,5000,931,608,-,contig_0,324,-107.8686
pre_train,5000,1734,1036,-,contig_0,699,-22519.79
pre_train,5000,2087,1731,-,contig_0,357,-1210.965
pre_train,5000,2133,2225,+,contig_0,93,-0.07577734
pre_train,5000,2320,2679,+,contig_0,360,-1227.493
pre_train,5000,2770,2880,+,contig_0,111,-10.39952
pre_train,5000,2883,3014,+,contig_0,132,-0.76716
pre_train,5000,3021,3200,+,contig_0,180,-27.53428
pre_train,5000,3149,3718,+,contig_0,570,-35545.22
pre_train,5000,3842,4171,+,contig_0,330,-685.2031
pre_train,5000,4529,4389,-,contig_0,141,-0.1944519
pre_train,5000,4930,4538,-,contig_0,393,-1947.549
pre_train,5000,5000,4908,-,contig_0,93,-4.476678
pre_train,25000,121,23,-,contig_0,99,-0.3645442
pre_train,25000,298,1026,+,contig_0,729,-3850784.0
pre_train,25000,986,1354,+,contig_0,369,-74.6642
pre_train,25000,1423,1641,+,contig_0,219,-2.526597
pre_train,25000,1734,1832,+,contig_0,99,-0.1955313
pre_train,25000,2002,1904,-,contig_0,99,-14.20587
pre_train,25000,2230,2063,-,contig_0,168,-38.4381
pre_train,25000,2816,2331,-,contig_0,486,-755.801
pre_train,25000,2786,2920,+,contig_0,135,-1.951124
pre_train,25000,3014,3115,+,contig_0,102,-5.098719
pre_train,25000,4305,3304,-,contig_0,1002,-60202.31
pre_train,25000,4482,4667,+,contig_0,186,-121.4795
pre_train,25000,4789,4682,-,contig_0,108,-0.1554049
pre_train,25000,5145,4786,-,contig_0,360,-70.11647
pre_train,25000,5404,5309,-,contig_0,96,-2.627791
pre_train,25000,5363,5527,+,contig_0,165,-10.18148
pre_train,25000,5532,6014,+,contig_0,483,-4491.724
pre_train,25000,6007,6312,+,contig_0,306,-57.03617
pre_train,25000,6707,6294,-,contig_0,414,-218.0968
pre_train,25000,7146,6760,-,contig_0,387,-1589.719
pre_train,25000,7505,7143,-,contig_0,363,-44.33451
pre_train,25000,7878,7462,-,contig_0,417,-411.9134
pre_train,25000,7900,7992,+,contig_0,93,-0.1220362
pre_train,25000,8046,8285,+,contig_0,240,-118.3771
pre_train,25000,8342,8464,+,contig_0,123,-4.960164
pre_train,25000,8507,8623,+,contig_0,117,-0.5225058
pre_train,25000,8694,8852,+,contig_0,159,-2.877471
pre_train,25000,8852,9157,+,contig_0,306,-861.7127
pre_train,25000,9144,9464,+,contig_0,321,-101.2984
pre_train,25000,9481,9696,+,contig_0,216,-48.29627
pre_train,25000,9755,10243,+,contig_0,489,-1548.808
pre_train,25000,10314,10652,+,contig_0,339,-134.0799
pre_train,25000,10823,11266,+,contig_0,444,-10882.06
pre_train,25000,11315,11497,+,contig_0,183,-9.405325
pre_train,25000,11490,12626,+,contig_0,1137,-45425230.0
pre_train,25000,12766,13263,+,contig_0,498,-2095.731
pre_train,25000,13263,13841,+,contig_0,579,-1014.0
pre_train,25000,13838,14209,+,contig_0,372,-97.40788
pre_train,25000,14225,14686,+,contig_0,462,-10865.56
pre_train,25000,14688,14924,+,contig_0,237,-2106.369
pre_train,25000,14980,15279,+,contig_0,300,-377.3013
pre_train,25000,15376,15263,-,contig_0,114,-1.354816
pre_train,25000,15474,15914,+,contig_0,441,-2254.086
pre_train,25000,16007,16309,+,contig_0,303,-152.1978
pre_train,25000,16306,16947,+,contig_0,642,-6452.738
pre_train,25000,17015,17155,+,contig_0,141,-0.3626884
pre_train,25000,17234,17338,+,contig_0,105,-1.51736
pre_train,25000,17479,17694,+,contig_0,216,-30.49945
pre_train,25000,17701,18135,+,contig_0,435,-752.0619
pre_train,25000,18092,18328,+,contig_0,237,-267.1426
pre_train,25000,18370,18924,+,contig_0,555,-69418.86
pre_train,25000,18939,19166,+,contig_0,228,-141.7466
pre_train,25000,19197,19460,+,contig_0,264,-40.54237
pre_train,25000,19513,20298,+,contig_0,786,-642479.3
pre_train,25000,20340,20609,+,contig_0,270,-11.93817
pre_train,25000,20612,21469,+,contig_0,858,-12745590.0
pre_train,25000,21557,22351,+,contig_0,795,-6050.582
pre_train,25000,22305,22424,+,contig_0,120,-25.91855
pre_train,25000,22449,23396,+,contig_0,948,-35576880.0
pre_train,25000,23450,24169,+,contig_0,720,-1289960.0
pre_train,25000,24170,24283,+,contig_0,114,-0.06918978
pre_train,25000,24293,24382,+,contig_0,90,-0.07427314
pre_train,25000,24533,24375,-,contig_0,159,-1.187464
pre_train,25000,24573,24998,+,contig_0,426,-524.5473
pre_train,5000,993,1,-,contig_0,993,-484958800.0
pre_train,5000,1076,981,-,contig_0,96,-2.858247
pre_train,5000,2836,1073,-,contig_0,1764,-22534600000000.0
pre_train,5000,3723,2836,-,contig_0,888,-25338950.0
pre_train,5000,4957,3737,-,contig_0,1221,-476962200.0
pre_train,50000,1,150,+,contig_0,150,-3.842895
pre_train,50000,153,437,+,contig_0,285,-126.1632
pre_train,50000,492,1268,+,contig_0,777,-73867.11
pre_train,50000,1238,2056,+,contig_0,819,-359707.7
pre_train,50000,2059,2421,+,contig_0,363,-227.4051
pre_train,50000,2598,2729,+,contig_0,132,-1.729489
pre_train,50000,2735,3037,+,contig_0,303,-54.30273
pre_train,50000,3055,3309,+,contig_0,255,-5.801111
pre_train,50000,3306,3734,+,contig_0,429,-90.54258
pre_train,50000,3745,4866,+,contig_0,1122,-8413316.0
pre_train,50000,5031,6284,+,contig_0,1254,-378845.9
pre_train,50000,6256,7887,+,contig_0,1632,-47182700000.0
pre_train,50000,8023,8508,+,contig_0,486,-76.06055
pre_train,50000,8508,9098,+,contig_0,591,-901.3535
pre_train,50000,9099,9479,+,contig_0,381,-253.9708
pre_train,50000,10454,9522,-,contig_0,933,-195125.9
pre_train,50000,10441,10539,+,contig_0,99,-0.3553344
pre_train,50000,10556,12334,+,contig_0,1779,-6384918000.0
pre_train,50000,12366,12479,+,contig_0,114,-0.1339411
pre_train,50000,12705,12815,+,contig_0,111,-0.06169718
pre_train,50000,12896,13039,+,contig_0,144,-0.3201951
pre_train,50000,18140,13050,-,contig_0,5091,-3.492306e+27
pre_train,50000,18120,18434,+,contig_0,315,-18.74138
pre_train,50000,334,2,-,contig_1,333,-68.13275
pre_train,50000,2893,341,-,contig_1,2553,-15912510000000.0
pre_train,50000,4349,2787,-,contig_1,1563,-3526751.0
pre_train,50000,4476,4351,-,contig_1,126,-2.72641
pre_train,50000,4684,4490,-,contig_1,195,-0.1009371
pre_train,50000,5189,4674,-,contig_1,516,-879.0948
pre_train,50000,5971,5186,-,contig_1,786,-8189.212
pre_train,50000,6415,6041,-,contig_1,375,-41.4244
pre_train,50000,6978,6463,-,contig_1,516,-14.91968
pre_train,50000,8493,6982,-,contig_1,1512,-10672470.0
pre_train,50000,8990,8523,-,contig_1,468,-394.9079
pre_train,50000,9105,9016,-,contig_1,90,-1.036988
pre_train,50000,11138,9102,-,contig_1,2037,-45403150.0
pre_train,50000,11495,11154,-,contig_1,342,-402.7915
pre_train,50000,12119,11574,-,contig_1,546,-144.2341
pre_train,50000,12595,12110,-,contig_1,486,-576.5373
pre_train,50000,12681,12592,-,contig_1,90,-1.420391
pre_train,50000,13349,12681,-,contig_1,669,-1113.783
pre_train,50000,13745,13353,-,contig_1,393,-241.0462
pre_train,50000,14251,13751,-,contig_1,501,-899.6137
pre_train,50000,14723,14256,-,contig_1,468,-890.0501
pre_train,50000,15130,14720,-,contig_1,411,-125.3423
pre_train,50000,15552,15127,-,contig_1,426,-86.14677
pre_train,50000,16058,15540,-,contig_1,519,-422.2488
pre_train,50000,17155,16025,-,contig_1,1131,-2166322.0
pre_train,50000,17302,17183,-,contig_1,120,-0.1871452
pre_train,50000,17775,17299,-,contig_1,477,-411.6082
pre_train,50000,17776,17925,+,contig_1,150,-0.1001175
pre_train,50000,18019,18333,+,contig_1,315,-17.07174
pre_train,50000,19116,18307,-,contig_1,810,-11880.0
pre_train,50000,19267,19121,-,contig_1,147,-1.179685
pre_train,50000,19454,19350,-,contig_1,105,-4.55391
pre_train,50000,369,1,-,contig_2,369,-22.72896
pre_train,50000,875,396,-,contig_2,480,-1700.1
pre_train,50000,1103,924,-,contig_2,180,-1.880513
pre_train,50000,1245,1144,-,contig_2,102,-0.113017
pre_train,50000,1791,1315,-,contig_2,477,-809.3477
pre_train,50000,1922,1809,-,contig_2,114,-2.639999
pre_train,50000,2098,1979,-,contig_2,120,-0.9988071
pre_train,50000,2495,2067,-,contig_2,429,-16.11481
pre_train,50000,2673,2506,-,contig_2,168,-0.3718946
pre_train,50000,2868,2710,-,contig_2,159,-6.993798
pre_train,50000,3677,2865,-,contig_2,813,-8397.382
pre_train,50000,3964,3656,-,contig_2,309,-123.6828
pre_train,50000,4883,3948,-,contig_2,936,-4551.218
pre_train,50000,6048,4945,-,contig_2,1104,-228813.7
pre_train,50000,6443,6033,-,contig_2,411,-26.36472
pre_train,50000,7330,6425,-,contig_2,906,-581213.0
pre_train,50000,7433,7332,-,contig_2,102,-1.193383
pre_train,50000,7585,7496,-,contig_2,90,-4.373408
pre_train,50000,7774,7601,-,contig_2,174,-8.238731
pre_train,50000,8940,7753,-,contig_2,1188,-188423.9
pre_train,50000,9710,9153,-,contig_2,558,-515.5627
pre_train,50000,10030,9806,-,contig_2,225,-15.56674
pre_train,50000,10255,10097,-,contig_2,159,-3.114017
pre_train,50000,10968,10261,-,contig_2,708,-2738.314
pre_train,50000,11336,10968,-,contig_2,369,-159.5281
pre_train,50000,11997,11275,-,contig_2,723,-943.0637
pre_train,1000,3,539,+,contig_0,537,-14679.33
pre_train,1000,555,998,+,contig_0,444,-66284.73
pre_train,1000,42,338,+,contig_0,297,-99.31075
pre_train,1000,353,823,+,contig_0,471,-14308.08
pre_train,1000,845,1000,+,contig_0,156,-9.491287
pre_train,10000,2,130,+,contig_0,129,-2.427256
pre_train,10000,106,1599,+,contig_0,1494,-407373100000.0
pre_train,10000,1599,1751,+,contig_0,153,-46.26128
pre_train,10000,1804,2286,+,contig_0,483,-5613.8
pre_train,10000,2283,2735,+,contig_0,453,-2661.149
pre_train,10000,3412,2744,-,contig_0,669,-13327.18
pre_train,10000,4001,3519,-,contig_0,483,-3408.778
pre_train,10000,4057,4191,+,contig_0,135,-0.3753703
pre_train,10000,4218,4631,+,contig_0,414,-16877.9
pre_train,10000,4628,5464,+,contig_0,837,-24114900.0
pre_train,10000,1,183,+,contig_1,183,-141.1008
pre_train,10000,170,277,+,contig_1,108,-0.8050986
pre_train,10000,421,615,+,contig_1,195,-453.7805
pre_train,10000,640,774,+,contig_1,135,-32.6203
pre_train,10000,793,1293,+,contig_1,501,-77337.91
pre_train,10000,1394,1984,+,contig_1,591,-487973.1
pre_train,10000,1981,2511,+,contig_1,531,-63043.08
pre_train,10000,2630,2758,+,contig_1,129,-24.30248
pre_train,10000,2751,3143,+,contig_1,393,-545.2851
pre_train,10000,3143,3667,+,contig_1,525,-301543.0
pre_train,10000,3778,4533,+,contig_1,756,-216338000.0
fine_tuned,10000,3,104,+,contig_0,102,-3.145233
fine_tuned,10000,141,317,+,contig_0,177,-7.568044
fine_tuned,10000,338,559,+,contig_0,222,-32.44993
fine_tuned,10000,505,621,+,contig_0,117,-0.4943657
fine_tuned,10000,762,1196,+,contig_0,435,-71.86275
fine_tuned,10000,1267,1452,+,contig_0,186,-26.05872
fine_tuned,10000,1482,1601,+,contig_0,120,-15.18028
fine_tuned,10000,1870,1583,-,contig_0,288,-3.533768
fine_tuned,10000,1854,2333,+,contig_0,480,-1402.196
fine_tuned,10000,2424,2648,+,contig_0,225,-81.73087
fine_tuned,10000,2665,4104,+,contig_0,1440,-933381400000.0
fine_tuned,10000,4193,4420,+,contig_0,228,-123.3327
fine_tuned,10000,4437,4760,+,contig_0,324,-3252.753
fine_tuned,10000,4760,5470,+,contig_0,711,-5553315.0
fine_tuned,10000,5458,5574,+,contig_0,117,-0.3021122
fine_tuned,10000,5618,6616,+,contig_0,999,-1936406000.0
fine_tuned,10000,6674,7612,+,contig_0,939,-175545500.0
fine_tuned,10000,7663,8208,+,contig_0,546,-10529.61
fine_tuned,10000,8459,8370,-,contig_0,90,-0.07364969
fine_tuned,10000,8433,8837,+,contig_0,405,-6846.608
fine_tuned,10000,9150,8935,-,contig_0,216,-0.5278919
fine_tuned,10000,9342,9223,-,contig_0,120,-3.049239
fine_tuned,10000,9456,9911,+,contig_0,456,-23227.49
fine_tuned,10000,230,45,-,contig_0,186,-1.887477
fine_tuned,10000,1227,280,-,contig_0,948,-880322400.0
fine_tuned,10000,1466,1227,-,contig_0,240,-153.3049
fine_tuned,10000,1774,1463,-,contig_0,312,-2567.799
fine_tuned,10000,2160,1771,-,contig_0,390,-616.7347
fine_tuned,10000,2362,2210,-,contig_0,153,-43.38701
fine_tuned,10000,2526,2335,-,contig_0,192,-230.1957
fine_tuned,10000,2789,2643,-,contig_0,147,-0.07202744
fine_tuned,10000,2988,2884,-,contig_0,105,-12.97595
fine_tuned,10000,3988,3026,-,contig_0,963,-1280851000.0
fine_tuned,10000,5395,4061,-,contig_0,1335,-8363749000000000.0
fine_tuned,10000,5672,5397,-,contig_0,276,-472.9286
fine_tuned,10000,5766,5641,-,contig_0,126,-2.391771
fine_tuned,10000,5769,6254,+,contig_0,486,-70752.43
fine_tuned,10000,6238,6441,+,contig_0,204,-11.38999
fine_tuned,10000,6441,6689,+,contig_0,249,-42.22184
fine_tuned,10000,6730,6969,+,contig_0,240,-8.010694
fine_tuned,10000,6971,7162,+,contig_0,192,-50.86794
fine_tuned,10000,8866,7136,-,contig_0,1731,-7628537000000000.0
fine_tuned,10000,9163,9065,-,contig_0,99,-0.09576269
fine_tuned,10000,9219,9551,+,contig_0,333,-457.3673
fine_tuned,10000,9548,10000,+,contig_0,453,-2188839.0
fine_tuned,1000,908,51,-,contig_0,858,-62043.28
fine_tuned,25000,874,2,-,contig_0,873,-5968829.0
fine_tuned,25000,1692,871,-,contig_0,822,-1455370.0
fine_tuned,25000,1844,1734,-,contig_0,111,-1.44018
fine_tuned,25000,2149,1919,-,contig_0,231,-5.329884
fine_tuned,25000,2293,2195,-,contig_0,99,-3.491672
fine_tuned,25000,2421,2293,-,contig_0,129,-0.2093654
fine_tuned,25000,3382,2405,-,contig_0,978,-3125.237
fine_tuned,25000,3701,3405,-,contig_0,297,-32.05199
fine_tuned,25000,4053,3709,-,contig_0,345,-187.064
fine_tuned,25000,5031,4090,-,contig_0,942,-963927.2
fine_tuned,25000,5105,5380,+,contig_0,276,-1.612549
fine_tuned,25000,5847,5455,-,contig_0,393,-342.7963
fine_tuned,25000,6146,5844,-,contig_0,303,-62.81065
fine_tuned,25000,8049,6124,-,contig_0,1926,-6917765000.0
fine_tuned,25000,8174,8085,-,contig_0,90,-0.1359024
fine_tuned,25000,9099,8200,-,contig_0,900,-1375940.0
fine_tuned,25000,9713,9186,-,contig_0,528,-247.6298
fine_tuned,25000,10186,9713,-,contig_0,474,-261.2927
fine_tuned,25000,10714,10196,-,contig_0,519,-16909.94
fine_tuned,25000,11346,10696,-,contig_0,651,-2573.233
fine_tuned,25000,11696,11343,-,contig_0,354,-762.4095
fine_tuned,25000,11895,11668,-,contig_0,228,-26.42665
fine_tuned,25000,12381,11938,-,contig_0,444,-1162.156
fine_tuned,25000,13182,12514,-,contig_0,669,-93127.4
fine_tuned,25000,13964,13281,-,contig_0,684,-11046.14
fine_tuned,25000,14428,13973,-,contig_0,456,-7661.994
fine_tuned,25000,14841,14428,-,contig_0,414,-610.1931
fine_tuned,25000,16200,14842,-,contig_0,1359,-233017500.0
fine_tuned,25000,16375,16202,-,contig_0,174,-13.87035
fine_tuned,25000,16857,16486,-,contig_0,372,-2440.497
fine_tuned,25000,17674,16844,-,contig_0,831,-659667.4
fine_tuned,25000,18532,17720,-,contig_0,813,-10130.24
fine_tuned,25000,19033,18671,-,contig_0,363,-223.9735
fine_tuned,25000,20104,19079,-,contig_0,1026,-5021214000.0
fine_tuned,25000,20394,20122,-,contig_0,273,-100.379
fine_tuned,25000,20578,20465,-,contig_0,114,-0.4636948
fine_tuned,25000,20625,20729,+,contig_0,105,-0.1429294
fine_tuned,25000,22387,21137,-,contig_0,1251,-57425640.0
fine_tuned,25000,22759,22448,-,contig_0,312,-219.4634
fine_tuned,25000,22884,22762,-,contig_0,123,-6.739783
fine_tuned,25000,23122,22901,-,contig_0,222,-90.42981
fine_tuned,25000,23366,23100,-,contig_0,267,-84.82969
fine_tuned,25000,23837,23484,-,contig_0,354,-65.75519
fine_tuned,25000,23946,23785,-,contig_0,162,-204.6573
